input,output,input_processed,is_divorce,law_topic,topic_name,topic_probability,announce_date,law_intent,intent_label
"배우자가 다른 사람과 부정행위를 한 경우, 법적으로 인정받을 수 있는 위자료는 어느 정도인가요?","배우자가 다른 사람과 부정행위를 한 경우, 법적으로 인정받을 수 있는 위자료는 여러 요소를 고려하여 결정됩니다. 예를 들어, 혼인 기간, 부정행위의 내용과 기간 등을 종합적으로 참작하여 위자료를 2,000만 원으로 정하는 것이 상당할 수 있습니다.",배우자 다른 부정행위 법적 인정받다 위자료,1,1,부정행위 및 제3자 개입 책임,0.35214603,2017-08-17T09:00:00.000+09:00,가능 여부 판단,0
"위자료의 기준은 무엇이며, 위자료의 액수 결정에 영향을 미치는 요소는 무엇인가요?","위자료의 기준은 민법 제750조에 근거하여 정신적 고통에 대한 보상으로 설정됩니다. 위자료의 액수는 피해자의 나이, 혼인 기간, 부정행위의 내용과 정도, 피해자의 고통의 정도 및 그로 인해 발생한 부부관계의 변화 등을 종합적으로 고려하여 판단됩니다. 대법원 판례에 따르면, 이러한 요소들은 위자료의 적절한 액수를 결정하는 중요한 기초 자료가 됩니다.",위자료 기준 액수 결정 영향 요소,1,2,위자료 및 손해배상 청구,0.45329416,2020-08-25T09:00:00.000+09:00,증거·입증,2
부정행위로 인한 손해배상의 청구 조건은 무엇인가요?,"부정행위로 인한 손해배상을 청구하기 위해서는 피해자가 고의 또는 과실에 의해 발생한 손해임을 입증해야 하며, 이러한 경우 민법 제 750조의 손해배상 책임 원칙을 적용하여 손해의 발생과 원인 사이의 인과관계를 명확히 입증해야 합니다.",부정행위 손해배상 청구,1,3,부정행위의 법률적 근거,0.8616891,2020-08-27T09:00:00.000+09:00,제재·구제수단,5
사실혼 해소에 따른 재산분할의 기준 시점은 언제인가요?,"재판상 이혼에서의 재산분할 기준 시점은 이혼소송의 사실심 변론종결일이며, 이러한 법리는 사실혼 해소에 따른 재산분할에도 준용 또는 유추 적용됩니다. 이는 대법원 1995. 3. 28. 선고 94므1584 판결 등을 참고할 수 있습니다.",사실혼 해소 재산 분할 기준 시점,1,0,이혼 시 금전 문제 (재산분할·양육비),0.7126669,2022-06-09T09:00:00.000+09:00,금액·산정,3
배우자와 제3자 간 부정행위로 인한 정신적 손해배상액은 어떻게 결정되나요?,"배우자와 제3자 간 부정행위로 인한 정신적 손해배상액은 혼인 기간, 부정행위 기간과 정도, 부정행위가 부부공동생활에 미친 영향 등 여러 사정을 종합적으로 고려하여 결정됩니다. 예를 들어, 혼인 기간이 길고 부정행위 기간이 길며 부부공동생활에 큰 영향을 미쳤다면, 손해배상액이 증가할 수 있습니다. 이러한 요소들을 기반으로 법원은 적절한 손해배상액을 산정합니다.",배우자 부정행위 정신 손해배상 결정 제3자,1,2,위자료 및 손해배상 청구,0.7635716,2023-08-08T09:00:00.000+09:00,가능 여부 판단,0
재산분할 관련 대표 판례에는 어떤 게 있나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,법적 근거·조문,6
부부가 공동으로 취득한 부동산 매각 시 산정해야 할 약정금의 계산 방법은 무엇인가요?,"부부가 공동으로 취득한 부동산의 매각 시 약정금은 매각대금에서 매도에 수반되는 제비용 및 설정된 근저당권의 채무액을 공제한 후 나머지 금액의 1/2을 서로 나누는 방식으로 산정됩니다. 민법 제830조에 따르면, 부부의 한쪽이 혼인 중 명의로 취득한 재산은 특유재산으로 보지만, 누구에게 속한 것인지 분명하지 않은 재산은 부부의 공유로 추정됩니다. 따라서 공동 취득한 부동산의 경우, 제반 비용을 공제한 후의 잔여가치를 기준으로 하여 약정금을 계산해야 합니다.",부부 공동 취득 부동산 매각 산정 약정 계산,1,3,부정행위의 법률적 근거,0.7810797,2016-10-05T09:00:00.000+09:00,절차·방법,1
배우자가 있는 사람과 부정행위를 한 제3자가 손해배상 책임을 지기 위한 조건은 무엇인가요?,"대법원 판례에 따르면, 제3자가 배우자가 있는 사람과 부정행위를 하여 부부공동생활의 파탄을 초래하는 등의 행위를 한 경우, 이는 원칙적으로 불법행위를 구성합니다. 여기서 부정행위는 간통을 포함할 뿐만 아니라 부부의 정조의무에 충실하지 않는 일체의 부정한 행위도 포함됩니다. 제3자가 이를 통해 부부의 관계를 침해하거나 유지에 방해를 했음을 인정할 수 있어야 하며, 이로 인한 배우자의 정신적 고통을 배상해야 할 의무가 있습니다.",배우자 부정행위 손해배상 책임 지기 제3자가,1,1,부정행위 및 제3자 개입 책임,0.9183764,2017-08-16T09:00:00.000+09:00,제재·구제수단,5
이혼 사유를 입증할 수 없는 경우 어떻게 하나요?,,,,3,부정행위의 법률적 근거,,,증거·입증,2
자녀가 성인이 된 뒤에도 양육비 청구가 가능한가요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,기간·시효,4
정신적 손해를 입은 피해자가 위자료를 청구하기 위해 입증해야 할 사항은 무엇인가요?,"정신적 손해를 입은 피해자는 과거의 혼인관계를 증명하고, 부정행위로 인해 겪은 정신적 고통의 정도를 입증해야 합니다. 또한, 관련법리에서 언급한 대법원 판례를 참고하여, 피해자가 경험한 구체적인 감정적 고통과 생활상의 변화 등을 상세히 기술하여 법원이 이를 상당히 인정하도록 해야 합니다.",정신 손해 입다 피해자 위자료 청구 입증 사항,1,2,위자료 및 손해배상 청구,0.5205847,2021-07-08T09:00:00.000+09:00,증거·입증,2
이혼 사유는 법으로 정해져 있나요?,,,,3,부정행위의 법률적 근거,,,개념·범위·기준,7
배우자의 소득이 없는 경우 재산분할은 어떻게 하나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,금액·산정,3
위자료의 액수를 결정하는 데 고려해야 할 주요 요소는 무엇인가요?,"위자료의 액수를 결정할 때는 부정행위의 내용, 정도 및 기간, 피해자와 배우자의 사실혼 기간 및 가족관계, 부정행위가 사실혼 관계에 미친 영향, 결혼식을 전후하여 부정행위를 계속한 점 등 여러 사정을 종합적으로 고려하여 결정합니다.",위자료 액수 결정 고려 주요 요소,1,2,위자료 및 손해배상 청구,0.56247616,2020-05-22T09:00:00.000+09:00,증거·입증,2
부정행위로 인한 계약해제 시 법률 효력은 무엇인가요?,"부정행위가 입증되어 계약해제가 이루어진 경우, 부정행위는 계약해제의 정당한 사유가 됩니다. 이로 인해 계약은 소급하여 무효가 되며, 각 당사자는 계약에 따라 받은 것을 반환해야 합니다. 이는 민법 제750조와 제546조에 의거하여 계약해제의 효력이 발생하며, 계약해제 사유와 절차의 정당성이 법률 효력의 주요 판단 근거가 됩니다.",부정행위 계약해제 법률,1,3,부정행위의 법률적 근거,0.78060544,2021-08-13T09:00:00.000+09:00,기간·시효,4
감정이 격해져도 상담이 중단되지 않나요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
민법상 부부 재산제도의 근거는 무엇인가요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,법적 근거·조문,6
상담을 대리인이 대신 받을 수 있나요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
법률 상담을 가족과 함께 받아도 되나요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
제3자가 배우자 있는 사람과 부정한 행위를 함으로써 배우자에게 정신적 고통을 가하는 행위는 불법행위로 인정될 수 있는 조건은 무엇인가요?,"제3자가 배우자 있는 사람과 부정한 행위를 하여 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하고, 이에 대한 배우자의 권리를 침해하여 정신적 고통을 가하는 행위는 원칙적으로 불법행위로 인정될 수 있습니다. 이는 대법원 판례(대법원 2014. 11. 20. 선고 2011므2997 전원합의체 판결 등)를 근거로 하며, 이로 인해 정신적 고통을 받은 배우자는 금전적으로나마 위자료를 청구할 수 있습니다.",배우자 부정 행위 정신 고통 가하다 불법행위 제3자가,1,1,부정행위 및 제3자 개입 책임,0.9183802,2021-06-02T09:00:00.000+09:00,가능 여부 판단,0
"배우자의 부정행위가 손해배상의 원인이 되는 경우, 손해배상의 범위는 어떻게 설정되나요?","손해배상 범위에 관한 기준은 민법 제750조 및 제751조에서 규정하고 있습니다. 손해배상은 원래 손해의 전부를 보상하는 것을 원칙으로 하지만, 피해자의 과실이나 상황에 따라 제한될 수 있습니다. 배상액 산정 시는 정신적 고통의 강도, 부부공동생활의 특성 및 상대방의 부정행위의 정도를 종합적으로 고려하여 판단합니다.",배우자 부정행위 손해배상 원인 범위 설정,1,2,위자료 및 손해배상 청구,0.45398268,2022-07-19T09:00:00.000+09:00,가능 여부 판단,0
이혼 및 재산분할 청구 사건에서의 조정 절차의 법률적 의미와 절차는 무엇인가요?,"이혼 및 재산분할 청구 사건에서의 조정 절차는 법원이 쌍방의 입장을 고려하여 원만한 해결을 유도하기 위한 제도로, 당사자들이 자발적으로 합의하는 것이 중요합니다. 조정 절차는 통상 소송보다 간소화되어 있으며, 법원에 조정 신청 후 조정기일이 정해지고, 그날 조정안 제시 및 찬반 여부를 검토하여 조정이 성립할 수 있습니다. 조정이 성립되면 조정조서가 작성되고, 이는 법적 효력을 가집니다.",이혼 재산 분할 청구 사건 조정 법률 의미,1,0,이혼 시 금전 문제 (재산분할·양육비),0.532565,2020-02-20T09:00:00.000+09:00,절차·방법,1
"혼인신고 후 협의이혼을 하였으나, 이후 다시 동거를 시작하여 사실혼 관계로 인정될 수 있는 조건은 무엇인가요?","혼인신고 후 협의이혼을 하였으나 다시 동거를 시작하여 사실혼 관계로 인정되기 위해서는 양 당사자가 혼인의 의사를 가지고 부부 공동생활을 유지하며, 자녀를 함께 양육하는 등의 구체적인 사실을 입증할 수 있어야 합니다. 단순히 동거나 교제가 있었음을 증명하는 것만으로는 사실혼 관계를 인정하기에 부족하며, 혼인의사의 합치 및 부부 공동생활의 실질적 요소가 필요합니다.",혼인신고 협의 이혼 다시 동거 시작 사실혼 관계,1,3,부정행위의 법률적 근거,0.9121742,2020-05-19T09:00:00.000+09:00,가능 여부 판단,0
부정행위로 인한 정신적 손해배상청구 소송에서 피해자가 지켜야 할 절차는 무엇인가요?,"피해자는 부정행위로 인해 발생한 정신적 손해에 대해 배상을 청구하기 위해, 먼저 민사소송법 제2조에 따른 소장 작성 후 법원에 이를 제출해야 하며, 혼인관계의 침해 사실과 그로 인한 정신적 고통을 구체적으로 입증해야 합니다. 또한, 관련 증거 및 증인을 확보하여 법원에 제출해야 할 의무가 있습니다.",부정행위 정신 손해배상 청구 소송 피해자 지키다,1,2,위자료 및 손해배상 청구,0.9341439,2017-09-15T09:00:00.000+09:00,절차·방법,1
부부의 정조의무를 위반한 행위가 법적으로 처벌받는 근거는 무엇인가요?,"부부의 정조의무를 위반한 행위는 민법 제840조 및 관련 대법원 판례에 따라 부정행위로 간주됩니다. 이러한 부정행위는 혼인의 본질에 해당하는 부부공동생활을 침해하는 것으로, 불법행위로 인정되어 손해배상 책임을 질 수 있습니다.",부부 정조 의무 위반 행위 법적 처벌 받다,1,1,부정행위 및 제3자 개입 책임,0.9321923,2021-05-13T09:00:00.000+09:00,제재·구제수단,5
손해배상청구 소송에서 위자료의 액수를 산정하는 기준은 무엇인가요?,"위자료의 액수는 민법 제750조에 따라 피해자가 입은 정신적 고통의 정도 및 그에 따른 사정을 종합적으로 고려하여 산정해야 하며, 부정행위의 내용과 정도, 혼인 기간 및 가족 관계, 부정행위 후의 태도 등을 기반으로 구체적인 금액을 설정합니다.",손해배상 청구 소송 위자료 액수 산정 기준,1,2,위자료 및 손해배상 청구,0.6863207,2019-11-19T09:00:00.000+09:00,증거·입증,2
이혼 후 위자료 명목으로 매월 금액을 지급하기로 약정했으나 이를 지키지 않았을 때 상대방이 청구할 수 있는 권리는 무엇인가요?,"이혼 후 위자료 명목으로 매월 금액을 지급하기로 약정했지만 이를 지키지 않은 경우 상대방은 약정된 금액의 지급을 청구할 수 있습니다. 이는 계약위반에 해당하므로 민법 제390조에 따른 손해배상청구를 제기할 수 있으며, 소급하여 미지급된 금액과 그 지연손해금을 청구할 수 있습니다.",이혼 위자료 명목 매월 금액 지급 약정 이르다 지키다 상대방 청구 권리,1,2,위자료 및 손해배상 청구,0.42182785,2022-08-17T09:00:00.000+09:00,가능 여부 판단,0
법원은 부정행위 여부를 어떤 기준으로 판단하나요?,,,,2,부정행위 및 제3자 개입 책임,,,개념·범위·기준,7
청구권 소멸시효는 몇 년인가요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,기간·시효,4
정신적 피해에 대해 위자료를 청구할 수 있나요?,,,,1,위자료 및 손해배상 청구,,,제재·구제수단,5
"제3자가 부정행위를 통해 손해배상 책임을 질 때, 그 행위가 혼인관계에 미친 영향은 어떻게 평가되나요?","제3자가 부정행위를 통해 손해배상 책임을 질 때, 그 행위가 부부관계에 미친 영향은 구체적 사정을 고려하여 평가됩니다. 예를 들어, 부정행위가 혼인관계의 파탄에 직접적인 영향을 미쳤는지 여부, 부부의 정조의무 위반 정도, 부정행위의 빈도와 기간, 그리고 부정행위가 시작되기 전 부부 사이의 관계 상태 등을 종합적으로 평가하여 손해배상 책임을 결정하게 됩니다. 이러한 평가 과정에서 법원은 실질적인 증거와 각 당사자의 주장들을 토대로 결론에 이르게 됩니다.",부정행위 통해 손해배상 책임 행위 혼인 관계 영향 평 제3자가,1,1,부정행위 및 제3자 개입 책임,0.49022213,2021-06-24T09:00:00.000+09:00,가능 여부 판단,0
재산분할의 기준은 부부의 기여도인가요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,개념·범위·기준,7
제3자가 유부남 혹은 유부녀인 사실을 알면서도 성관계를 가지는 것이 법적으로 어떤 의미를 가지나요?,"제3자가 유부남 혹은 유부녀인 사실을 알면서도 성관계를 가지는 행위는 혼인의 본질에 해당하는 부부공동생활을 침해하거나 유지를 방해하는 행위로 해석됩니다. 이는 배우자로서의 권리를 침해하여 배우자에게 정신적 고통을 가하는 행위로 간주되며, 불법행위를 구성합니다. 이에 따라, 피해자는 가해자로부터 정신적 고통에 대한 위자료를 청구할 수 있습니다.",유부 유부녀 알다 성관계 가지다 법적 의미 제3자가,1,1,부정행위 및 제3자 개입 책임,0.755946,2017-12-13T09:00:00.000+09:00,법적 근거·조문,6
재산분할이 적법하게 이루어지기 위한 조건은 무엇인가요?,"재산분할이 적법하게 이루어지기 위해서는 그 재산분할이 혼인 중 공동재산 청산의 성격을 가지며, 부부 공동의 이익을 위한 적정한 분배로서 상당한 정도를 벗어나지 않아야 합니다. 또한, 민법 제839조의2 제2항 규정 취지에 따라 이루어진 재산분할이 과도한 부분을 포함하지 않음을 증명해야 합니다.",재산 분할 이루어지다,1,0,이혼 시 금전 문제 (재산분할·양육비),0.78439474,2015-04-23T09:00:00.000+09:00,기타,-1
부부 간의 성적 성실의무 위반은 어떻게 인정되나요?,"부부 간의 성적 성실의무는 민법 제826조 및 제840조에 의해 인정되며, 이는 부부가 서로 부정행위를 하지 않을 의무를 포함합니다. 이에 따라 부부의 일방이 부정행위를 했다면, 이는 이혼의 사유가 될 수 있으며, 상대방은 정신적 고통에 대한 손해배상을 청구할 수 있습니다. 부정행위의 인정 여부는 각 사건의 구체적 상황과 부정행위의 정도를 고려하여 판단합니다(대법원 1992. 11. 10. 선고 92므68 판결).",부부 간 성적 성실 의무 위반,1,1,부정행위 및 제3자 개입 책임,0.9143585,2020-06-05T09:00:00.000+09:00,가능 여부 판단,0
사실혼 부부 간의 재산분할 약정의 법률적 효력은 어떻게 판단되나요?,"사실혼 부부 간의 재산분할 약정은 이혼 소송에 따른 결과로 효력이 상실될 수 있으며, 특히 협의상 이혼이 이루어지지 않은 경우에는 그 약정이 조건부 의사표시로 간주되어 효력이 발생하지 않습니다. 대법원 2000. 10. 24. 선고 99다33458 판결에 따르면, 협의상 이혼이 이루어지지 않으면서 혼인 관계가 계속 유지되거나 재판상 이혼이 이루어진 경우, 그 재산분할에 대한 협의는 조건 불성취로 인해 효력을 발생하지 않는 것으로 간주됩니다.",사실혼 부부 간 재산 분할 약정 법률,1,0,이혼 시 금전 문제 (재산분할·양육비),0.5049707,2015-01-15T09:00:00.000+09:00,가능 여부 판단,0
재산분할 시 배우자의 채무도 포함되나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,금액·산정,3
배우자가 있는 상태에서 다른 사람과 부정행위를 한 경우 법률적으로 어떤 책임을 지게 되나요?,"민법 제826조에 따르면, 부부는 동거하며 서로 부양하고 협조할 의무가 있으며, 부정행위를 하지 않아야 하는 성적 성실의무를 부담합니다. 부정행위란 간통을 포함하여 넓은 개념으로서, 간통에까지 이르지 않더라도 부부의 정조의무에 충실하지 않는 모든 부정한 행위를 포함합니다. 이에 따라 부정행위를 한 경우, 부부의 일방은 다른 배우자가 입은 정신적 고통에 대해 불법행위에 의한 손해배상의무를 지게 됩니다.",배우자 상태 다른 부정행위 법률 책임 지게,1,1,부정행위 및 제3자 개입 책임,0.41668963,2020-07-15T09:00:00.000+09:00,가능 여부 판단,0
상담 결과 요약을 받아볼 수 있나요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
부부의 일방이 부정행위를 하면 법률상 어떤 책임을 지나요?,"민법 제840조에 따르면, 부부의 일방이 부정행위를 한 경우 이는 재판상 이혼사유가 됩니다. 또한, 부정행위로 인해 배우자에게 정신적 고통을 가한 경우 부부의 일방은 불법행위에 의한 손해배상의무를 집니다. 불법행위로 인한 손해배상책임의 경우, 부부의 일방은 정신적 고통에 대한 위자료를 배상해야 합니다.",부부 일방 부정행위 법률상 책임 지나,1,1,부정행위 및 제3자 개입 책임,0.4839713,2020-05-26T09:00:00.000+09:00,법적 근거·조문,6
전문 상담사와 변호사의 역할이 다른가요?,,,,4,일반 상담·상황 문의 (비법률적 질문),,,기타,-1
혼인 기간 중 상속받은 재산도 분할되나요?,,,,0,이혼 시 금전 문제 (재산분할·양육비),,,금액·산정,3
부정행위를 통해 받은 정신적 손해에 대한 위자료의 액수는 어떻게 산정되나요?,"부정행위의 내용, 정도 및 기간, 부정행위에 이르게 된 경위, 혼인기간, 부정행위가 혼인관계에 미친 영향, 부정행위에 있어서 각 당사자의 책임 등을 종합적으로 고려하여 위자료의 액수가 산정됩니다. 예를 들어, 부정행위의 책임이 더 큰 사람의 상황 등 여러 요소를 참작하여 결정됩니다.",부정행위 통해 받다 정신 손해 위자료 액수 산정,1,2,위자료 및 손해배상 청구,0.44996396,2016-05-20T09:00:00.000+09:00,가능 여부 판단,0
