input,output,announce_date,is_divorce,text_combined,input_processed,topic_label
근로자퇴직급여보장법 제8조 제2항 단서에 따른 퇴직금 중간정산의 효력은 무엇인가요?,"근로자퇴직급여보장법 제8조 제2항 단서에 따르면, 퇴직금 중간정산이 이루어진 이후부터 계속근로기간은 새로 계산되어야 합니다. 이는 기존의 근로기간과 새로 시작되는 근로기간을 분리하여 중간정산한 시점을 기준으로 퇴직금 산정의 기준을 새롭게 설정하는 것입니다. 다만 이러한 규정은 일각에서 위헌적 요소가 있을 수 있다고 지적되고 있습니다.",2022-06-21T09:00:00.000+09:00,0,"근로자퇴직급여보장법 제8조 제2항 단서에 따른 퇴직금 중간정산의 효력은 무엇인가요? 근로자퇴직급여보장법 제8조 제2항 단서에 따르면, 퇴직금 중간정산이 이루어진 이후부터 계속근로기간은 새로 계산되어야 합니다. 이는 기존의 근로기간과 새로 시작되는 근로기간을 분리하여 중간정산한 시점을 기준으로 퇴직금 산정의 기준을 새롭게 설정하는 것입니다. 다만 이러한 규정은 일각에서 위헌적 요소가 있을 수 있다고 지적되고 있습니다.",제조 여보 퇴직 따르다 퇴직금 정산 근로자 제2항 효력 제8조 중간 장법 단서,-1
이사장이 소송 관련 변호사 비용을 단체의 비용으로 지출할 수 있는 조건은 무엇인가요?,"원칙적으로 단체의 비용으로 지출할 수 있는 변호사 선임료는 단체 자체가 소송당사자가 된 경우에 한정됩니다. 단체의 대표자 개인이 당사자가 된 민·형사사건의 변호사 비용은 단체의 비용으로 지출할 수 없으나, 예외적으로 분쟁이 단체와 업무적으로 깊이 관련된 경우, 당시의 제반 사정에 비추어 단체의 이익을 위해 소송을 수행하거나 고소에 대응할 특별한 필요성이 있는 경우에는 단체의 비용으로 지출할 수 있습니다.",2019-04-12T09:00:00.000+09:00,0,"이사장이 소송 관련 변호사 비용을 단체의 비용으로 지출할 수 있는 조건은 무엇인가요? 원칙적으로 단체의 비용으로 지출할 수 있는 변호사 선임료는 단체 자체가 소송당사자가 된 경우에 한정됩니다. 단체의 대표자 개인이 당사자가 된 민·형사사건의 변호사 비용은 단체의 비용으로 지출할 수 없으나, 예외적으로 분쟁이 단체와 업무적으로 깊이 관련된 경우, 당시의 제반 사정에 비추어 단체의 이익을 위해 소송을 수행하거나 고소에 대응할 특별한 필요성이 있는 경우에는 단체의 비용으로 지출할 수 있습니다.",이사장 소송 관련 변호사 조건 단체 지출 비용,-1
근로자가 퇴직금을 사전 포기하는 것이 법적으로 유효한가요?,"근로자퇴직급여보장법 제8조 제2항에 따라, 근로자가 퇴직금을 사전 포기하는 약정은 강행법규에 위배되어 무효입니다. 따라서 퇴직금 분할 약정을 체결하더라도 최종 퇴직 시 발생하는 퇴직금청구권을 근로자가 사전에 포기하는 것은 법적으로 효력이 없습니다.",2021-07-23T09:00:00.000+09:00,0,"근로자가 퇴직금을 사전 포기하는 것이 법적으로 유효한가요? 근로자퇴직급여보장법 제8조 제2항에 따라, 근로자가 퇴직금을 사전 포기하는 약정은 강행법규에 위배되어 무효입니다. 따라서 퇴직금 분할 약정을 체결하더라도 최종 퇴직 시 발생하는 퇴직금청구권을 근로자가 사전에 포기하는 것은 법적으로 효력이 없습니다.",퇴직금 근로자 사전 유효하다 법적 포기,-1
민사소송에서 항소 취하로 간주되는 상황은 무엇인가요?,"민사소송법 제408조 및 제268조 제1항 내지 제3항에 따르면, 항소심 소송 계속 중 양쪽 당사자가 2회에 걸쳐 출석하지 않거나 출석하더라도 변론하지 않을 경우 1월 이내에 기일지정신청을 해야 하고, 이를 하지 않을 경우 항소를 취하한 것으로 간주합니다. 또한, 기일지정신청에 따라 정한 변론기일에도 양쪽 당사자가 출석하지 않거나 변론하지 않을 경우 역시 항소를 취하한 것으로 간주됩니다.",2018-04-04T09:00:00.000+09:00,0,"민사소송에서 항소 취하로 간주되는 상황은 무엇인가요? 민사소송법 제408조 및 제268조 제1항 내지 제3항에 따르면, 항소심 소송 계속 중 양쪽 당사자가 2회에 걸쳐 출석하지 않거나 출석하더라도 변론하지 않을 경우 1월 이내에 기일지정신청을 해야 하고, 이를 하지 않을 경우 항소를 취하한 것으로 간주합니다. 또한, 기일지정신청에 따라 정한 변론기일에도 양쪽 당사자가 출석하지 않거나 변론하지 않을 경우 역시 항소를 취하한 것으로 간주됩니다.",간주 항소 취하 민사소송,-1
피해자가 위자료 청구를 통해 받을 수 있는 손해배상금의 액수는 어떻게 결정되나요?,"위자료 청구를 통한 손해배상금의 액수는 법원이 피해자가 입은 정신적 고통의 정도, 사건의 구체적 상황, 가해 행위의 성격 등을 종합적으로 고려하여 결정됩니다. 예를 들어, 특정 사건에서는 3,000,000원의 위자료가 지급되었다는 판결이 내려진 바 있습니다.",2020-08-12T09:00:00.000+09:00,0,"피해자가 위자료 청구를 통해 받을 수 있는 손해배상금의 액수는 어떻게 결정되나요? 위자료 청구를 통한 손해배상금의 액수는 법원이 피해자가 입은 정신적 고통의 정도, 사건의 구체적 상황, 가해 행위의 성격 등을 종합적으로 고려하여 결정됩니다. 예를 들어, 특정 사건에서는 3,000,000원의 위자료가 지급되었다는 판결이 내려진 바 있습니다.",위자료 손해 피해자 액수 어떻다 청구 결정 배상금 받다 통해,-1
퇴직금 지급의 기본 요건은 무엇인가요?,퇴직금 지급의 기본 요건은 근로자의 계속근로기간이 1년 이상이어야 한다는 것입니다. 이는 근로자퇴직급여 보장법 제8조 제1항에 명시되어 있습니다.,2018-07-12T09:00:00.000+09:00,0,퇴직금 지급의 기본 요건은 무엇인가요? 퇴직금 지급의 기본 요건은 근로자의 계속근로기간이 1년 이상이어야 한다는 것입니다. 이는 근로자퇴직급여 보장법 제8조 제1항에 명시되어 있습니다.,기본 요건 퇴직금 지급,-1
재심 규정에 의한 재심청구의 사유가 있는 경우 항소심에서는 어떠한 절차를 거쳐야 하나요?,"재심 규정에 의한 재심청구의 사유가 있는 경우 항소심에서는 새로 소송절차를 진행한 다음, 제1심 판결을 파기하고 새로운 심리 결과에 따라 다시 판결하여야 합니다. 이를 위해 공소장 부본 등을 송달하고 다시 심리하는 절차를 거쳐야 합니다.",2021-11-25T09:00:00.000+09:00,0,"재심 규정에 의한 재심청구의 사유가 있는 경우 항소심에서는 어떠한 절차를 거쳐야 하나요? 재심 규정에 의한 재심청구의 사유가 있는 경우 항소심에서는 새로 소송절차를 진행한 다음, 제1심 판결을 파기하고 새로운 심리 결과에 따라 다시 판결하여야 합니다. 이를 위해 공소장 부본 등을 송달하고 다시 심리하는 절차를 거쳐야 합니다.",규정 사유 하나요 재심 어떠하다 항소심 청구 거치다 의하다,-1
"이륜자동차 운전자가 신호를 위반하여 사고를 낸 경우, 피해자가 받을 수 있는 손해배상 항목에는 어떤 것들이 있나요?","이륜자동차 운전자가 신호를 위반하여 사고를 낸 경우, 피해자가 받을 수 있는 손해배상 항목은 다음과 같습니다. 첫째, 치료비와 같은 직접적인 의료비용. 둘째, 사고로 인해 발생한 소득 손실, 즉 일하지 못한 기간 동안의 임금 손실. 셋째, 신체 상해로 인한 정신적 고통에 대한 위자료. 넷째, 추가로 필요한 재활 치료비 및 기타 부대비용. 이러한 손해배상 항목들은 민법 제750조에 따른 불법행위로 인한 손해배상 책임에 의해 인정될 수 있습니다.",2015-09-24T09:00:00.000+09:00,0,"이륜자동차 운전자가 신호를 위반하여 사고를 낸 경우, 피해자가 받을 수 있는 손해배상 항목에는 어떤 것들이 있나요? 이륜자동차 운전자가 신호를 위반하여 사고를 낸 경우, 피해자가 받을 수 있는 손해배상 항목은 다음과 같습니다. 첫째, 치료비와 같은 직접적인 의료비용. 둘째, 사고로 인해 발생한 소득 손실, 즉 일하지 못한 기간 동안의 임금 손실. 셋째, 신체 상해로 인한 정신적 고통에 대한 위자료. 넷째, 추가로 필요한 재활 치료비 및 기타 부대비용. 이러한 손해배상 항목들은 민법 제750조에 따른 불법행위로 인한 손해배상 책임에 의해 인정될 수 있습니다.",이륜자동차 피해자 신호 위반 어떻다 항목 손해배상 운전자 사고 내다 받다,-1
근로기준법상 근로자 여부를 판단하는 기준은 무엇인가요?,"근로기준법상의 근로자에 해당하는지는 계약의 형식이 고용계약인지 도급계약인지 여부보다 실질에 따릅니다. 이를 판단할 때는 사용자가 업무 내용을 정하고 취업규칙이나 복무규정을 적용하는지, 사용자가 상당한 지휘·감독을 하는지, 근무시간과 근무장소를 지정하는지, 노무 제공자가 독립적으로 사업을 영위할 수 있는지, 보수의 성격이 근로 자체의 대상적 성격인지, 기본급이나 고정급이 정해져 있는지 및 근로소득세의 원천징수 여부 등을 종합적으로 고려합니다.",2017-08-16T09:00:00.000+09:00,0,"근로기준법상 근로자 여부를 판단하는 기준은 무엇인가요? 근로기준법상의 근로자에 해당하는지는 계약의 형식이 고용계약인지 도급계약인지 여부보다 실질에 따릅니다. 이를 판단할 때는 사용자가 업무 내용을 정하고 취업규칙이나 복무규정을 적용하는지, 사용자가 상당한 지휘·감독을 하는지, 근무시간과 근무장소를 지정하는지, 노무 제공자가 독립적으로 사업을 영위할 수 있는지, 보수의 성격이 근로 자체의 대상적 성격인지, 기본급이나 고정급이 정해져 있는지 및 근로소득세의 원천징수 여부 등을 종합적으로 고려합니다.",판단 근로자 기준 근로기준법 여부,-1
"경계 담장에 대한 소유권 분쟁 시, 각각의 소유권 이전등기 진행은 어떻게 이루어지나요?","경계 담장에 대한 소유권 분쟁이 발생한 경우, 각 소유자는 소유권이전등기 절차를 진행할 수 있습니다. 예를 들어, 한쪽은 상대방이 경계 담장과 그 주변 토지를 점유하고 있음을 이유로 토지인도 및 부당이득금 반환 청구를 제기할 수 있으며, 이에 대응하여 다른 쪽은 시효취득을 원인으로 소유권이전등기 절차의 이행을 요구할 수 있습니다. 법원은 양측의 주장과 증거를 검토하여 판결을 내리며, 이후 항소심과 확정 판결을 통해 최종적인 소유권 이전 등기 절차가 이루어집니다.",2022-09-21T09:00:00.000+09:00,0,"경계 담장에 대한 소유권 분쟁 시, 각각의 소유권 이전등기 진행은 어떻게 이루어지나요? 경계 담장에 대한 소유권 분쟁이 발생한 경우, 각 소유자는 소유권이전등기 절차를 진행할 수 있습니다. 예를 들어, 한쪽은 상대방이 경계 담장과 그 주변 토지를 점유하고 있음을 이유로 토지인도 및 부당이득금 반환 청구를 제기할 수 있으며, 이에 대응하여 다른 쪽은 시효취득을 원인으로 소유권이전등기 절차의 이행을 요구할 수 있습니다. 법원은 양측의 주장과 증거를 검토하여 판결을 내리며, 이후 항소심과 확정 판결을 통해 최종적인 소유권 이전 등기 절차가 이루어집니다.",소유권 각각 경계 진행 대한 어떻다 이루어지다 담장 분쟁 이전 등기,-1
추완항소가 적법하기 위해서는 어떤 조건을 만족해야 하나요?,"추완항소가 적법하기 위해서는 항소인이 의사로 인해 항소기간을 준수하지 못한 사유를 상당한 이유로 제출해야 합니다. 또한, 그 사유가 해소된 후 2주일 이내에 항소장을 제출해야 합니다. 예를 들어, 판결 또는 사건이 있음을 알게 된 시점으로부터 2주일 이내에 추완항소장을 제출해야 합니다.",2019-07-25T09:00:00.000+09:00,0,"추완항소가 적법하기 위해서는 어떤 조건을 만족해야 하나요? 추완항소가 적법하기 위해서는 항소인이 의사로 인해 항소기간을 준수하지 못한 사유를 상당한 이유로 제출해야 합니다. 또한, 그 사유가 해소된 후 2주일 이내에 항소장을 제출해야 합니다. 예를 들어, 판결 또는 사건이 있음을 알게 된 시점으로부터 2주일 이내에 추완항소장을 제출해야 합니다.",추완항소 만족하다 어떻다 조건 적법하다 하나요,-1
퇴직금 지급 시 공제할 수 있는 항목은 무엇인가요?,"퇴직금 지급 시 공제할 수 있는 항목으로는 이미 수령한 퇴직금과 근로자가 동의한 공제금액이 있습니다. 예를 들어, 연금 및 건강보험료와 같은 금액을 퇴직금에서 공제할 수 있습니다.",2014-02-19T09:00:00.000+09:00,0,"퇴직금 지급 시 공제할 수 있는 항목은 무엇인가요? 퇴직금 지급 시 공제할 수 있는 항목으로는 이미 수령한 퇴직금과 근로자가 동의한 공제금액이 있습니다. 예를 들어, 연금 및 건강보험료와 같은 금액을 퇴직금에서 공제할 수 있습니다.",항목 공제 퇴직금 지급,-1
재심사유로 주장할 수 없는 경우에는 어떤 경우가 포함되나요?,"재심사유로 주장할 수 없는 경우는 판결에 대한 판단누락을 상고이유로 주장하지 않은 경우를 포함합니다. 이는 민사소송법 제451조 제1항 단서에 따라 상고심 판결의 판단을 받은 사유로는 재심의 소를 제기할 수 없기 때문입니다. 또한, 재심사유가 단순히 판결이 부당하다는 주장을 포함하는 경우에는 재심의 소를 인정받기 어렵습니다.",2021-10-07T09:00:00.000+09:00,0,"재심사유로 주장할 수 없는 경우에는 어떤 경우가 포함되나요? 재심사유로 주장할 수 없는 경우는 판결에 대한 판단누락을 상고이유로 주장하지 않은 경우를 포함합니다. 이는 민사소송법 제451조 제1항 단서에 따라 상고심 판결의 판단을 받은 사유로는 재심의 소를 제기할 수 없기 때문입니다. 또한, 재심사유가 단순히 판결이 부당하다는 주장을 포함하는 경우에는 재심의 소를 인정받기 어렵습니다.",재심사 유로 주장 어떻다 포함,-1
"임원이 사임하거나 해임된 경우, 퇴직금 지급이 어떻게 제한될 수 있나요?","임원이 본인의 귀책사유로 주주총회의 해임 결의에 따라 해임된 경우, 임원퇴직금 지급규정에 따라 퇴직금 지급이 제한될 수 있습니다. 예를 들어 본인의 잘못으로 인해 회사에 손해를 끼쳤거나 규정된 임무를 다하지 않은 경우 퇴직금 지급이 제한될 수 있습니다.",2014-09-25T09:00:00.000+09:00,0,"임원이 사임하거나 해임된 경우, 퇴직금 지급이 어떻게 제한될 수 있나요? 임원이 본인의 귀책사유로 주주총회의 해임 결의에 따라 해임된 경우, 임원퇴직금 지급규정에 따라 퇴직금 지급이 제한될 수 있습니다. 예를 들어 본인의 잘못으로 인해 회사에 손해를 끼쳤거나 규정된 임무를 다하지 않은 경우 퇴직금 지급이 제한될 수 있습니다.",제한 퇴직금 해임 지급 어떻다 임원 거나 사임,-1
혼인 관계가 후에 성립된 경우에도 손해배상 청구가 가능한가요?,"혼인 관계가 희생 사건 이후에 성립된 경우, 후에 형성된 관계에 의한 정신적 손해는 인정되기 어렵습니다. 예를 들어 희생자 사망 약 10년 후에 혼인한 자는 고유의 위자료 청구가 어려울 수 있습니다.",2014-11-06T09:00:00.000+09:00,0,"혼인 관계가 후에 성립된 경우에도 손해배상 청구가 가능한가요? 혼인 관계가 희생 사건 이후에 성립된 경우, 후에 형성된 관계에 의한 정신적 손해는 인정되기 어렵습니다. 예를 들어 희생자 사망 약 10년 후에 혼인한 자는 고유의 위자료 청구가 어려울 수 있습니다.",성립 관계 청구 혼인 손해배상,-1
의사가 설명의무를 이행하지 않은 경우 어떤 결과가 발생할 수 있나요?,"의사가 설명의무를 위반한 채 수술 등을 하여 환자에게 중대한 결과, 예를 들어 사망 등의 결과가 발생한 경우, 환자가 선택의 기회를 잃고 자기결정권을 행사할 수 없게 된 데 대한 위자료를 청구할 수 있습니다. 하지만 그 중대한 결과와 의사의 설명의무 위반과의 상당인과관계를 환자가 입증해야 합니다.",2016-04-27T09:00:00.000+09:00,0,"의사가 설명의무를 이행하지 않은 경우 어떤 결과가 발생할 수 있나요? 의사가 설명의무를 위반한 채 수술 등을 하여 환자에게 중대한 결과, 예를 들어 사망 등의 결과가 발생한 경우, 환자가 선택의 기회를 잃고 자기결정권을 행사할 수 없게 된 데 대한 위자료를 청구할 수 있습니다. 하지만 그 중대한 결과와 의사의 설명의무 위반과의 상당인과관계를 환자가 입증해야 합니다.",의무 발생 어떻다 이행 의사,-1
불법행위 후 가해자의 태도가 위자료 산정에 미치는 영향은 무엇인가요?,"불법행위 후 가해자의 태도는 위자료 산정에 영향을 미치는 요소 중 하나입니다. 구체적으로, 가해자가 범행 이후 어떤 태도를 보였는지, 예를 들어 반성이나 사과의 태도를 보였는지 혹은 반대로 피해자에게 추가적인 피해를 가하려 했는지 등에 따라 법원은 위자료 액수를 결정합니다. 이는 손해의 공평부담 원칙에 부합합니다.",2022-02-17T09:00:00.000+09:00,0,"불법행위 후 가해자의 태도가 위자료 산정에 미치는 영향은 무엇인가요? 불법행위 후 가해자의 태도는 위자료 산정에 영향을 미치는 요소 중 하나입니다. 구체적으로, 가해자가 범행 이후 어떤 태도를 보였는지, 예를 들어 반성이나 사과의 태도를 보였는지 혹은 반대로 피해자에게 추가적인 피해를 가하려 했는지 등에 따라 법원은 위자료 액수를 결정합니다. 이는 손해의 공평부담 원칙에 부합합니다.",위자료 불법행위 가해자 태도 영향 산정 미치다,-1
채권추심 업무 수임 계약에서 근로기준법상 근로자로 인정되기 위한 조건은 무엇인가요?,"근로기준법상 근로자로 인정되기 위한 조건은 계약의 형식보다 실질적으로 근로가 종속적인 관계에서 제공되었는지를 판단해야 합니다. 판단 기준으로는 업무 내용을 사용자가 정하고 사용자의 지휘·감독을 받는지, 근무시간과 근무장소가 지정되어 있는지, 근로자가 업무 관련 비품과 도구를 독립적으로 소유·이용하는지, 노무 제공을 통해 발생하는 이윤과 손실을 스스로 부담하는지, 보수의 성격이 정규 임금인지, 근로 소득세 원천징수 여부, 근로 관계의 지속성과 사용자에 대한 전속성 정도, 사회보장제도에서 근로자로 인정받는지 등이 있습니다.",2018-12-20T09:00:00.000+09:00,0,"채권추심 업무 수임 계약에서 근로기준법상 근로자로 인정되기 위한 조건은 무엇인가요? 근로기준법상 근로자로 인정되기 위한 조건은 계약의 형식보다 실질적으로 근로가 종속적인 관계에서 제공되었는지를 판단해야 합니다. 판단 기준으로는 업무 내용을 사용자가 정하고 사용자의 지휘·감독을 받는지, 근무시간과 근무장소가 지정되어 있는지, 근로자가 업무 관련 비품과 도구를 독립적으로 소유·이용하는지, 노무 제공을 통해 발생하는 이윤과 손실을 스스로 부담하는지, 보수의 성격이 정규 임금인지, 근로 소득세 원천징수 여부, 근로 관계의 지속성과 사용자에 대한 전속성 정도, 사회보장제도에서 근로자로 인정받는지 등이 있습니다.",채권 계약 근로자 인정 조건 수임 근로기준법 추심 업무,-1
